"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snhg41",6.66135997322412e-16,0.542962145449622,0.32,0.234,2.2446118565776e-11,"5","Snhg4"
"Trps11",7.20887190911987e-16,0.48643435659182,0.489,0.402,2.42910147849703e-11,"5","Trps1"
"Dnajc101",9.93187589908701e-16,0.553928970416281,0.304,0.22,3.34664490295636e-11,"5","Dnajc10"
"Copb11",1.12478715323296e-15,0.477205384064165,0.453,0.364,3.79008279153377e-11,"5","Copb1"
"Taldo11",1.43128332792783e-15,0.576500833847756,0.298,0.216,4.8228523017856e-11,"5","Taldo1"
"Gm578571",1.60553621245921e-15,0.600113874423258,0.261,0.181,5.41001482150256e-11,"5","Gm57857"
"Kmt2e1",1.6827896179462e-15,0.383469325932617,0.554,0.466,5.6703278966315e-11,"5","Kmt2e"
"Ergic3",1.94737355219924e-15,0.527309040977802,0.308,0.223,6.56186992149054e-11,"5","Ergic3"
"Myo101",2.10528415937313e-15,0.509541637657156,0.444,0.359,7.0939655034237e-11,"5","Myo10"
"Id11",2.21072118274556e-15,0.482126977156983,0.377,0.289,7.44924609737943e-11,"5","Id1"
"Chd42",2.45263851088265e-15,0.341090682326012,0.669,0.589,8.26441072627018e-11,"5","Chd4"
"Sat11",2.51969327215119e-15,0.628994015870493,0.321,0.24,8.49035844984065e-11,"5","Sat1"
"Pfn12",2.81414641184716e-15,0.253422753231546,0.668,0.578,9.48254774936019e-11,"5","Pfn1"
"Vps282",2.97176625773687e-15,0.579090914347279,0.263,0.185,1.00136635820702e-10,"5","Vps28"
"Ppib2",3.51432710281635e-15,0.433083194498567,0.474,0.39,1.184187660565e-10,"5","Ppib"
"Selenok1",4.02282996564959e-15,0.47292972575814,0.368,0.28,1.35553278522529e-10,"5","Selenok"
"Psma12",4.50211698780731e-15,0.491484640364256,0.337,0.251,1.51703334021155e-10,"5","Psma1"
"Glis3",6.95567790006441e-15,0.420053166723994,0.406,0.317,2.3437852252057e-10,"5","Glis3"
"Itgb12",7.25352904791602e-15,0.400218991353227,0.483,0.397,2.44414914798578e-10,"5","Itgb1"
"Tnnt22",7.71679887103914e-15,0.621285105632063,0.255,0.178,2.60025254758535e-10,"5","Tnnt2"
"Picalm1",8.99907630434508e-15,0.525559525290694,0.36,0.28,3.03232875151212e-10,"5","Picalm"
"Tnrc6a1",9.47350983310382e-15,0.555768130472773,0.32,0.241,3.19219387336266e-10,"5","Tnrc6a"
"Usp471",1.27899693402642e-14,0.429687489707249,0.417,0.329,4.30970806889542e-10,"5","Usp47"
"Sdc22",1.35962112724316e-14,0.548876207810573,0.335,0.255,4.58137935035855e-10,"5","Sdc2"
"Xdh2",1.82076141318659e-14,0.379864359927403,0.382,0.289,6.13523765787352e-10,"5","Xdh"
"Emp2",1.87177305750437e-14,0.594575555786344,0.272,0.196,6.30712649456673e-10,"5","Emp2"
"Slc25a4",2.2244312211075e-14,0.338158833674381,0.606,0.526,7.49544344264382e-10,"5","Slc25a4"
"Tcf7l21",2.55135035498124e-14,0.66112780932543,0.254,0.18,8.59703015614478e-10,"5","Tcf7l2"
"Tceal91",3.00468894707577e-14,0.507163693271274,0.329,0.247,1.01245998760665e-09,"5","Tceal9"
"Rex1bd",4.90452627729912e-14,0.553385109405853,0.266,0.188,1.65262917439871e-09,"5","Rex1bd"
"Nup1072",7.76605020423347e-14,0.426604977959054,0.39,0.308,2.61684827681851e-09,"5","Nup107"
"Sdc4",9.36487813150233e-14,0.342265481399359,0.642,0.577,3.15558933519103e-09,"5","Sdc4"
"Elk32",9.76037352441056e-14,0.582099541274331,0.269,0.193,3.28885546278538e-09,"5","Elk3"
"Rbbp61",1.02865675724052e-13,0.334310479267587,0.564,0.491,3.46616180919766e-09,"5","Rbbp6"
"Psma52",1.08273994163052e-13,0.370997649671212,0.489,0.407,3.64840050731822e-09,"5","Psma5"
"Vamp8",1.22724754935806e-13,0.527861493397477,0.261,0.184,4.13533334231691e-09,"5","Vamp8"
"Gpx4",1.53842608870658e-13,0.264488415269857,0.712,0.645,5.18388054850569e-09,"5","Gpx4"
