"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Prelid1",1.55669271636296e-07,1.02462828627094,0.398,0.371,0.00524543177705663,"11","Prelid1"
"Bsg2",1.8443782973262e-07,0.618170547767146,0.655,0.722,0.00621481711067035,"11","Bsg"
"Ndufc14",2.98511674968989e-07,1.09320267320123,0.337,0.288,0.0100586493997551,"11","Ndufc1"
"Krtcap22",3.74417859885726e-07,0.633814827884853,0.598,0.677,0.0126163842067094,"11","Krtcap2"
"Ccng13",3.8006159252143e-07,1.36620502021157,0.308,0.254,0.0128065554216021,"11","Ccng1"
"Ubxn12",4.02322149218395e-07,0.979842800767343,0.441,0.434,0.013556647140063,"11","Ubxn1"
"Mrps212",5.71524156895324e-07,1.04693468681799,0.345,0.303,0.0192580779907448,"11","Mrps21"
"Tpm15",8.01840609269662e-07,0.948436414757477,0.508,0.521,0.0270188211699505,"11","Tpm1"
"Psme13",9.18679493117735e-07,1.21538049724143,0.34,0.302,0.0309558242000952,"11","Psme1"
"Rbm33",1.31166802393807e-06,0.763691750268622,0.494,0.526,0.0441979657346172,"11","Rbm3"
"Eif3c2",1.42496717463203e-06,0.585856873715591,0.622,0.685,0.0480156939164009,"11","Eif3c"
"Eid12",1.45347437365351e-06,1.07749771791328,0.414,0.403,0.0489762724946288,"11","Eid1"
"Atp5mj3",1.58028104051044e-06,1.13271194287871,0.39,0.38,0.0532491499410398,"11","Atp5mj"
"Selenof4",1.92417258738277e-06,0.906739721698806,0.414,0.407,0.0648369195044499,"11","Selenof"
"Atp5pf4",2.31996620562648e-06,1.01347714001394,0.378,0.354,0.0781735812647897,"11","Atp5pf"
"Ost42",3.31321326230942e-06,0.958575835364558,0.407,0.403,0.111642034086778,"11","Ost4"
"Cox6b12",3.51131993271323e-06,0.88255569918121,0.431,0.442,0.118317436452705,"11","Cox6b1"
"Gm569065",5.01369441312756e-06,0.743786078042288,0.682,0.768,0.168941446944746,"11","Gm56906"
"Cox7a2l",7.20937062068249e-06,0.791794470612943,0.501,0.548,0.242926952434517,"11","Cox7a2l"
"Atp5f1d3",8.09775362864922e-06,0.904592104254098,0.41,0.413,0.272861906270964,"11","Atp5f1d"
"Anp32a2",9.22526052983218e-06,1.27799310472112,0.289,0.245,0.310854378813225,"11","Anp32a"
"Snrpg3",1.07664204041711e-05,0.744417393589232,0.472,0.498,0.362785301938949,"11","Snrpg"
"Rwdd12",1.14809495434155e-05,0.769459428509161,0.453,0.466,0.38686207581493,"11","Rwdd1"
"H3f3a4",1.20801131628489e-05,0.594119482952947,0.581,0.631,0.407051493135357,"11","H3f3a"
"Bst23",1.47654370737919e-05,1.06250811110738,0.34,0.299,0.497536167638491,"11","Bst2"
"Uqcr105",1.79562411790804e-05,0.958522761591103,0.378,0.368,0.605053502770293,"11","Uqcr10"
"Rnasek2",2.05695098498139e-05,0.806605097931107,0.477,0.509,0.693110203899328,"11","Rnasek"
"Mdh15",2.39889221690771e-05,1.06855121956792,0.342,0.32,0.808330721409223,"11","Mdh1"
"Ssr43",2.40096016625142e-05,0.964728678752744,0.383,0.374,0.809027537620079,"11","Ssr4"
"Ndufv31",2.45762677865541e-05,1.06649327845954,0.349,0.33,0.828121919335727,"11","Ndufv3"
"Oaz14",2.50326092670789e-05,0.625966337318486,0.554,0.629,0.84349880186349,"11","Oaz1"
"Nenf3",2.50737284125211e-05,1.13044706907764,0.308,0.279,0.84488435258831,"11","Nenf"
"Basp14",2.8257696748162e-05,0.73237858717292,0.489,0.525,0.952171349626068,"11","Basp1"
"Ndufs53",3.18298843021773e-05,0.991844366265479,0.349,0.326,1,"11","Ndufs5"
"Lamtor23",3.28660663743141e-05,1.24057920423076,0.289,0.253,1,"11","Lamtor2"
"Tle54",4.85785946328307e-05,0.923861981472279,0.378,0.375,1,"11","Tle5"
"Smdt13",5.17837949473689e-05,0.949709653307413,0.345,0.325,1,"11","Smdt1"
"Psma73",5.37452502780516e-05,0.717358618102476,0.487,0.523,1,"11","Psma7"
"Sparc3",5.66836877192383e-05,0.935799762142645,0.378,0.353,1,"11","Sparc"
"Sh3glb12",6.5505016551509e-05,0.542352928316404,0.586,0.673,1,"11","Sh3glb1"
"Uqcrq4",8.02486641383631e-05,0.787866740218606,0.434,0.457,1,"11","Uqcrq"
"Tpm25",8.17525977925008e-05,1.11623785892132,0.308,0.28,1,"11","Tpm2"
"Hmga12",0.000117437646592806,1.05092455126012,0.294,0.267,1,"11","Hmga1"
"Gabarap2",0.000142022577103637,0.590495225273709,0.547,0.611,1,"11","Gabarap"
