,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
22,NFIA(+),-0.06676951255930469,2.6243888584305885e-17,1.3837686708088559e-16,0.1274295518118098,0.13346573481170415,1167,8353,4
23,NFIC(+),-0.0546675039240067,6.899037660136919e-15,3.334534869066178e-14,0.13690063300421554,0.14218769528997666,1167,8353,4
24,ILF2(+),-0.04709856745829499,2.288512155433498e-12,9.480978929653063e-12,0.1295571812337556,0.1338565329945326,1167,8353,4
25,GATA6(+),-0.04680652259931566,3.2235121658149448e-12,1.246424704115112e-11,0.13033922817043234,0.13463727474669268,1167,8353,4
26,ATF4(+),-0.03817323060515316,4.461686830863588e-11,1.6173614761880506e-10,0.12894182115967304,0.13239911659510772,1167,8353,4
27,JUND(+),-0.0379075625032135,1.311527014692646e-10,4.4746215795396165e-10,0.15970603313329781,0.16395800904930885,1167,8353,4
28,CEBPB(+),-0.028902673796484757,2.2406057132051718e-07,7.219729520327776e-07,0.1511693840104571,0.15422842204813245,1167,8353,4
29,TEAD1(+),-0.021888460994711305,0.000178427748352787,0.000492800447831507,0.1437063172965706,0.14590324243329342,1167,8353,4
30,HLTF(+),-0.20614581905775103,2.1579335962625377e-07,2.5032029716645434e-06,0.08456825952010615,0.09755813025386537,1769,7751,2
31,SOX4(+),-0.08879537249919814,2.018767908369031e-25,5.85442693427019e-24,0.593476076606569,0.6311510188223008,1769,7751,2
32,ATF4(+),-0.075115366768228,2.6831159701188646e-57,1.5562072626689415e-55,0.12647199144534368,0.13323132155147208,1769,7751,2
33,KLF4(+),-0.03531669602168721,0.00037748395651089216,0.002736758684703968,0.10321578801014754,0.10577365643790285,1769,7751,2
34,CLOCK(+),-0.027308125711458055,1.0944103727753933e-07,1.5868950405243202e-06,0.11068095729561055,0.11279594102701547,1769,7751,2
35,MYC(+),-0.020647872761660795,3.8199365924749734e-05,0.0003165090319479264,0.1721497251748264,0.17463125005400465,1769,7751,2
36,ILF2(+),-0.019653791707247816,3.1199565057680256e-05,0.0003015957955575758,0.131856994269137,0.13366556931247797,1769,7751,2
37,NFIA(+),-0.01829801662023466,0.0018698614371442316,0.010845196335436543,0.1313606693968482,0.13303735591323967,1769,7751,2
38,CEBPD(+),-0.013545176311328231,0.0024338950420794815,0.012833264767328175,0.15516870292284488,0.15663241145156442,1769,7751,2
39,JUND(+),-0.010930546519775305,0.0006057287323968135,0.00390358516433502,0.16243100396741514,0.16366633263283178,1769,7751,2
40,ELF3(+),-0.00788251689254291,0.008812886194182431,0.04259561660521508,0.13334488978947104,0.13407544615362446,1769,7751,2
41,NFE2L2(+),-0.006775824781784516,1.1970858955614368e-24,2.314366064752111e-23,0.83829777573485,0.8422442220990739,1769,7751,2
42,ATF3(+),-0.3267137322887405,3.3576584006486797e-103,1.9474418723762343e-101,0.4666828482214029,0.5852918454332995,692,8828,5
43,NFKB1(+),-0.2841082883329687,2.914044766238497e-67,8.450729822091642e-66,0.13779270382521963,0.16778430739090516,692,8828,5
44,FOS(+),-0.271345866224577,6.543325803185715e-26,6.325214943079525e-25,0.3538516269733823,0.4270752875117172,692,8828,5
